source_url,destination_path,status_code,category,topic_or_cohort,clicks,impressions,position,backlinks,priority,confidence,manual_review
https://www.celebios.com/galindo-guerrero,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/egresados-nutricion2019,/cursos/nutricion-fauna-cautiverio,301,curso_historico,nutricion,,,,,media,alta,false
https://www.celebios.com/aviso-de-privacidad,,404,institucional,aviso-privacidad,,,,,media,alta,true
https://www.celebios.com/lopez-hernandez,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/medicina-preventiva,/cursos,301,curso_historico,medicina-preventiva,,,,,media,alta,false
https://www.celebios.com/valeriadasilvasena,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/perez-amaya-fauna,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/marioantoniogarciaguerrero,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/vazquez-santiago-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/ortopedia-tirado-perez,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/inscripcion-rehabilitacion,/diplomado-rescate-rehabilitacion-fauna,301,curso_historico,rehabilitacion,,,,,media,alta,false
https://www.celebios.com/chavez-gutierrez,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/itzaelatirjesselsolis,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/cortes-romero-fauna,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com,/,301,home,home,,,,,alta,alta,false
https://www.celebios.com/felidos-torres-barraza,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/paolamcanarromero,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/ortopedia-paulin-moran,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/salazar-gutierrez-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/alexandraelizabethlaraperez,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/melissacarrilloescalante,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/gonzalez-padilla-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/ortopedia-monroy-olvera,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/manejo-de-datos-2021,/cursos,301,curso_historico,manejo-datos,,,,,media,alta,false
https://www.celebios.com/braga-gonzalez-2017,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/ortopedia-bello-ahued,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/zamora-aguayo,,404,sin_equivalente,,,,,,baja,alta,false
